districts,temperature_2m
Cox's Bazar,29.848387096774193
Barguna,30.892473118279568
Chandpur,30.91182795698925
Bhola,30.93010752688172
Patuakhali,31.087096774193547
Barishal,31.127956989247313
Chattogram,31.156989247311827
Noakhali,31.16021505376344
Feni,31.229032258064517
Thakurgaon,31.250537634408605
